time_created,model_type,model_id,model_path,dataset,layer_depth,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,hidden_layer_6,hidden_layer_7,hidden_layer_8,hidden_layer_9,training_time,loss,iterations,mse,rmse,mae,mae_percentage,max_error,r2
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x5_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x5_ds1fe1/model.pkl,ds1fe1,5,200,200,200,200,200,0,0,0,0,586.088,0.0001684648573835,753,6.0951049584348976e-05,0.0078071153177309,0.0054631860318158,440.3641063715481,3937.6034539886696,0.9979187950867482
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x1_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x1_ds1/model.pkl,ds1,1,250,0,0,0,0,0,0,0,0,176.377,0.0006674376535464,2325,0.0007827372524397,0.0279774418494569,0.0200159564645649,1565.3712816474729,18243.059769914205,0.97327303423531
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x1_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x1_ds1fe1/model.pkl,ds1fe1,1,250,0,0,0,0,0,0,0,0,37.73,5.499920501822455e-05,521,6.45351137151448e-05,0.008033374989078,0.0056653277543947,455.41141095840254,4623.393604794835,0.9977964153750076
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x2_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x2_ds1/model.pkl,ds1,2,250,250,0,0,0,0,0,0,0,821.69,0.0007755029141354,2301,0.0008491074170373,0.0291394477819554,0.0212129080276169,1657.7044540652685,18439.001871415785,0.9710067908548308
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x2_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x2_ds1fe1/model.pkl,ds1fe1,2,250,250,0,0,0,0,0,0,0,266.82,7.341119096680551e-05,819,5.782881083609183e-05,0.007604525681204,0.0053369050111661,427.2302835124031,4361.846013509552,0.9980254055334514
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x3_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x3_ds1/model.pkl,ds1,3,250,250,250,0,0,0,0,0,0,1074.643,0.0006587926062177,1598,0.000687336540122,0.0262171039613849,0.0197220663713133,1532.0835379810478,15840.943595142651,0.9765305405876576
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x3_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x3_ds1fe1/model.pkl,ds1fe1,3,250,250,250,0,0,0,0,0,0,441.592,0.0001249187258337,801,6.600013970951438e-05,0.0081240470031576,0.0057923410028019,464.5577965456866,5310.256084127607,0.997746391309494
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x4_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x4_ds1/model.pkl,ds1,4,250,250,250,250,0,0,0,0,0,1289.379,0.0006280095593898,1415,0.0005458842428657,0.0233641657857879,0.0172139596351485,1346.912700488859,15648.526458979117,0.9813605019754944
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x4_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x4_ds1fe1/model.pkl,ds1fe1,4,250,250,250,250,0,0,0,0,0,720.712,0.0001503961394101,861,5.696021302179336e-05,0.0075471990182976,0.0053150381987102,428.21509047248907,4509.4834844911165,0.998055064252228
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x5_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x5_ds1/model.pkl,ds1,5,250,250,250,250,250,0,0,0,0,1775.157,0.0005467358539706,1507,0.0004929590443961,0.0222026810182041,0.0164242108125016,1279.4762921358467,13674.668776067932,0.9831676600776278
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_250_x5_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_250/MLPRegressor_250_x5_ds1fe1/model.pkl,ds1fe1,5,250,250,250,250,250,0,0,0,0,599.984,0.0002123775246686,573,8.438218545416561e-05,0.009185977653694,0.0063220742555434,510.81115669647176,5654.604920642681,0.9971187269102708
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_5_x1_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_5/MLPRegressor_5_x1_ds1/model.pkl,ds1,1,5,0,0,0,0,0,0,0,0,17.131,0.000475156881137,2241,0.0007314784535844,0.0270458583443838,0.0196277504527923,1537.9295132969085,18680.811868029035,0.97502329226618
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_5_x2_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_5/MLPRegressor_5_x2_ds1/model.pkl,ds1,2,5,5,0,0,0,0,0,0,0,29.56,0.0005297746344807,2657,0.0007812349517534,0.0279505805262333,0.0197499790145847,1542.7730914927483,19200.107948969937,0.973324331064336
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_5_x3_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_5/MLPRegressor_5_x3_ds1/model.pkl,ds1,3,5,5,5,0,0,0,0,0,0,37.126,0.0006872166777493,2541,0.0011274395069014,0.0335773659911173,0.0235080389264742,1834.30451997904,25406.038466056536,0.9615029986003718
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_5_x4_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_5/MLPRegressor_5_x4_ds1/model.pkl,ds1,4,5,5,5,5,0,0,0,0,0,41.865,0.0005618801252552,2341,0.0008942254754071,0.0299036030505883,0.0218714740832211,1712.4410112014311,19090.771021553053,0.9694662115638089
